タイトル	名詞,*,*,*,*,タイトル,タイトル
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
たり	助詞,副助詞,*,*,*,たり,タリ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
し	動詞,*,*,連用形,サ行変格,為る,シ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
早い	形容詞,*,*,連体形,形容詞型,早い,ハヤイ
時間	名詞,*,*,*,*,時間,ジカン
に	助詞,格助詞,*,*,*,に,ニ
何	名詞,代名詞,*,*,*,何,ナン
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
買い込ん	動詞,*,撥音便,連用形,マ行五段,買い込む,カイコン
だ	助動詞,*,*,連体形,*,た,ダ
材料	名詞,*,*,*,*,材料,ザイリョー
で	助詞,格助詞,*,*,*,で,デ
友達	名詞,*,*,*,*,友達,トモダチ
を	助詞,格助詞,*,*,*,を,オ
呼ん	動詞,*,撥音便,連用形,バ行五段,呼ぶ,ヨン
で	助詞,接続助詞,*,*,*,て,デ
鍋パーティー	名詞,*,*,*,*,鍋パーティー,ナベパーティー
を	助詞,格助詞,*,*,*,を,オ
し	動詞,*,*,連用形,サ行変格,為る,シ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
いる	動詞,*,*,連体形,ア行上一段,居る,イル
の	助詞,準体助詞,*,*,*,の,ノ
に	助詞,格助詞,*,*,*,に,ニ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
EOS
海外	名詞,*,*,*,*,海外,カイガイ
に	助詞,格助詞,*,*,*,に,ニ
留学	名詞,*,*,*,*,留学,リューガク
し	動詞,*,*,連用形,サ行変格,為る,シ
てる	助動詞,*,*,連体形,*,てる,テル
友達	名詞,*,*,*,*,友達,トモダチ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユウ
の	助詞,準体助詞,*,*,*,の,ノ
は	助詞,係助詞,*,*,*,は,ワ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
日本	名詞,固有名詞,*,*,*,日本,ニホン
食	名詞,*,*,*,*,食,ショク
が	助詞,格助詞,*,*,*,が,ガ
恋しい	形容詞,*,*,終止形,形容詞型,恋しい,コイシー
みたく	形状詞,*,*,*,*,みたい,ミタク
て	助詞,接続助詞,*,*,*,て,テ
EOS
みんな	名詞,*,*,*,*,皆,ミンナ
で	助詞,格助詞,*,*,*,で,デ
集まっ	動詞,*,促音便,連用形,ラ行五段,集まる,アツマッ
て	助詞,接続助詞,*,*,*,て,テ
は	助詞,係助詞,*,*,*,は,ワ
日本	名詞,固有名詞,*,*,*,日本,ニホン
食	名詞,*,*,*,*,食,ショク
を	助詞,格助詞,*,*,*,を,オ
食べ	動詞,*,*,連用形,バ行下一段,食べる,タベ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
私	名詞,代名詞,*,*,*,私,ワタシ
は	助詞,係助詞,*,*,*,は,ワ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
で	助詞,格助詞,*,*,*,で,デ
焼き肉	名詞,*,*,*,*,焼き肉,ヤキニク
と	助詞,格助詞,*,*,*,と,ト
日本	名詞,固有名詞,*,*,*,日本,ニホン
食	名詞,*,*,*,*,食,ショク
以外	名詞,*,*,*,*,以外,イガイ
に	助詞,格助詞,*,*,*,に,ニ
あんまり	副詞,*,*,*,*,余り,アンマリ
食べ	動詞,*,*,連用形,バ行下一段,食べる,タベ
た	助動詞,*,*,連体形,*,た,タ
思い出	名詞,*,*,*,*,思い出,オモイデ
が	助詞,格助詞,*,*,*,が,ガ
ない	形容詞,*,*,終止形,形容詞型,無い,ナイ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー笑
EOS
感じ	名詞,*,*,*,*,感じ,カンジ
が	助詞,格助詞,*,*,*,が,ガ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,連用形,*,てる,テ
ます	助動詞,*,*,終止形,*,ます,マス
EOS
で	接続詞,*,*,*,*,で,デ
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
の	助詞,格助詞,*,*,*,の,ノ
時	名詞,*,*,*,*,時,トキ
は	助詞,係助詞,*,*,*,は,ワ
そんな	連体詞,*,*,*,*,そんな,ソンナ
日本	名詞,固有名詞,*,*,*,日本,ニホン
っぽい	名詞,接尾辞,*,連体形,形容詞型,ぽい,ッポイ
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
を	助詞,格助詞,*,*,*,を,オ
過ごし	動詞,*,*,連用形,サ行五段,過ごす,スゴシ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
を	助詞,格助詞,*,*,*,を,オ
過ぎ	動詞,*,*,連用形,ガ行上一段,過ぎる,スギ
て	助詞,接続助詞,*,*,*,て,テ
二十	名詞,数詞,*,*,*,二十,ニジュー
七	名詞,数詞,*,*,*,七,シチ
日	名詞,接尾辞,*,*,*,日,ニチ
から	助詞,格助詞,*,*,*,から,カラ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
は	助詞,係助詞,*,*,*,は,ワ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
から	助詞,格助詞,*,*,*,から,カラ
飛行	名詞,*,*,*,*,飛行,ヒコー
機	名詞,接尾辞,*,*,*,機,キ
で	助詞,格助詞,*,*,*,で,デ
三	名詞,数詞,*,*,*,三,サン
時間	名詞,接尾辞,*,*,*,時間,ジカン
くらい	助詞,副助詞,*,*,*,くらい,クライ
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
て	接続詞,*,*,*,*,で,テ
日本	名詞,固有名詞,*,*,*,日本,ニホン
で	助詞,格助詞,*,*,*,で,デ
三	名詞,数詞,*,*,*,三,サン
時間	名詞,接尾辞,*,*,*,時間,ジカン
飛ん	動詞,*,撥音便,連用形,バ行五段,飛ぶ,トン
じゃう	助動詞,*,*,終止形,*,ちゃう,ジャウ
と	助詞,接続助詞,*,*,*,と,ト
絶対	副詞,*,*,*,*,絶対,ゼッタイ
外国	名詞,*,*,*,*,外国,ガイコク
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
ちゃう	助動詞,*,*,連体形,*,ちゃう,チャウ
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
やっぱり	副詞,*,*,*,*,矢張り,ヤッパリ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
って	助詞,副助詞,*,*,*,って,ッテ
凄い	形容詞,*,*,連体形,形容詞型,凄い,スゴイ
広い	形容詞,*,*,終止形,形容詞型,広い,ヒロイ
な	助詞,終助詞,*,*,*,な,ナ
EOS
って	助詞,副助詞,*,*,*,って,ッテ
思っ	動詞,*,促音便,連用形,ワア行五段,思う,オモッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
で	接続詞,*,*,*,*,で,デ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
で	助詞,格助詞,*,*,*,で,デ
は	助詞,係助詞,*,*,*,は,ワ
他	名詞,*,*,*,*,他,ホカ
の	助詞,格助詞,*,*,*,の,ノ
友達	名詞,*,*,*,*,友達,トモダチ
と	助詞,格助詞,*,*,*,と,ト
合流	名詞,*,*,*,*,合流,ゴーリュー
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
六	名詞,数詞,*,*,*,六,ロク
人	名詞,接尾辞,*,*,*,人,ニン
で	助詞,格助詞,*,*,*,で,デ
行動	名詞,*,*,*,*,行動,コードー
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,連用形,*,てる,テ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
て	助詞,接続助詞,*,*,*,て,テ
EOS
男の子	名詞,*,*,*,*,男の子,オトコノコ
二人	名詞,*,*,*,*,二人,フタリ
と	助詞,格助詞,*,*,*,と,ト
女の子	名詞,*,*,*,*,女の子,オンナノコ
四	名詞,数詞,*,*,*,四,ヨ
人	名詞,接尾辞,*,*,*,人,ニン
で	助詞,格助詞,*,*,*,で,デ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
修学	名詞,*,*,*,*,修学,シューガク
旅行	名詞,*,*,*,*,旅行,リョコー
の	助詞,格助詞,*,*,*,の,ノ
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
気分	名詞,*,*,*,*,気分,キブン
で	助動詞,*,*,連用形,*,だ,デ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
私	名詞,代名詞,*,*,*,私,ワタシ
達	名詞,接尾辞,*,*,*,達,タチ
は	助詞,係助詞,*,*,*,は,ワ
いつ	名詞,代名詞,*,*,*,何時,イツ
も	助詞,副助詞,*,*,*,も,モ
はしゃい	動詞,*,イ音便,連用形,ガ行五段,はしゃぐ,ハシャイ
で	助詞,接続助詞,*,*,*,て,デ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
いつ	名詞,代名詞,*,*,*,何時,イツ
も	助詞,副助詞,*,*,*,も,モ
わくわく	副詞,*,*,*,*,わくわく,ワクワク
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,連用形,*,てる,テ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
EOS
は	助詞,係助詞,*,*,*,は,ワ
みんな	名詞,*,*,*,*,皆,ミンナ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
た	助動詞,*,*,連体形,*,た,タ
EOS
こと	名詞,*,*,*,*,事,コト
が	助詞,格助詞,*,*,*,が,ガ
なかっ	形容詞,*,促音便,連用形,形容詞型,無い,ナカッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
EOS
で	接続詞,*,*,*,*,で,デ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
でる	助動詞,*,*,連体形,*,てる,デル
友達	名詞,*,*,*,*,友達,トモダチ
が	助詞,格助詞,*,*,*,が,ガ
一人	名詞,*,*,*,*,一人,ヒトリ
い	動詞,*,*,連用形,ア行上一段,居る,イ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けど	助詞,接続助詞,*,*,*,けれど,ケド
も	助詞,副助詞,*,*,*,も,モ
他	名詞,*,*,*,*,他,ホカ
の	助詞,格助詞,*,*,*,の,ノ
五	名詞,数詞,*,*,*,五,ゴ
人	名詞,接尾辞,*,*,*,人,ニン
は	助詞,係助詞,*,*,*,は,ワ
みんな	名詞,*,*,*,*,皆,ミンナ
初めて	副詞,*,*,*,*,初めて,ハジメテ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
その	連体詞,*,*,*,*,其の,ソノ
一人	名詞,*,*,*,*,一人,ヒトリ
の	助詞,格助詞,*,*,*,の,ノ
子	名詞,*,*,*,*,子,コ
が	助詞,格助詞,*,*,*,が,ガ
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
ガイド	名詞,*,*,*,*,ガイド,ガイド
さん	名詞,接尾辞,*,*,*,さん,サン
の	助詞,格助詞,*,*,*,の,ノ
よう	形状詞,*,*,*,*,様,ヨー
に	助動詞,*,*,連用形,*,だ,ニ
EOS
色々	形状詞,*,*,*,*,色々,イロイロ
な	助動詞,*,*,連体形,*,だ,ナ
とこ	名詞,*,*,*,*,所,トコ
に	助詞,格助詞,*,*,*,に,ニ
連れ	動詞,*,*,連用形,ラ行下一段,連れる,ツレ
てっ	助動詞,*,促音便,連用形,*,てく,テッ
て	助詞,接続助詞,*,*,*,て,テ
くれ	動詞,*,*,連用形,ラ行下一段,呉れる,クレ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
て	接続詞,*,*,*,*,で,テ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
は	助詞,係助詞,*,*,*,は,ワ
町	名詞,*,*,*,*,町,マチ
全体	名詞,*,*,*,*,全体,ゼンタイ
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
もう	副詞,*,*,*,*,もう,モー
派手	形状詞,*,*,*,*,派手,ハデ
派手	形状詞,*,*,*,*,派手,ハデ
な	助動詞,*,*,連体形,*,だ,ナ
の	助詞,準体助詞,*,*,*,の,ノ
か	助詞,終助詞,*,*,*,か,カ
と	助詞,格助詞,*,*,*,と,ト
思っ	動詞,*,促音便,連用形,ワア行五段,思う,オモッ
て	助動詞,*,*,連用形,*,てる,テ
たら	助動詞,*,*,仮定形,*,た,タラ
EOS
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
メーンストリート	名詞,*,*,*,*,メーンストリート,メインストリート
の	助詞,格助詞,*,*,*,の,ノ
周辺	名詞,*,*,*,*,周辺,シューヘン
だけ	助詞,副助詞,*,*,*,だけ,ダケ
が	助詞,格助詞,*,*,*,が,ガ
あたし	名詞,代名詞,*,*,*,私,アタシ
達	名詞,接尾辞,*,*,*,達,タチ
の	助詞,格助詞,*,*,*,の,ノ
知っ	動詞,*,促音便,連用形,ラ行五段,知る,シッ
てる	助動詞,*,*,連体形,*,てる,テル
きらびやか	形状詞,*,*,*,*,きらびやか,キラビヤカ
な	助動詞,*,*,連体形,*,だ,ナ
ところ	名詞,*,*,*,*,所,トコロ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
で	助詞,格助詞,*,*,*,で,デ
少し	副詞,*,*,*,*,少し,スコシ
離れる	動詞,*,*,終止形,ラ行下一段,離れる,ハナレル
と	助詞,接続助詞,*,*,*,と,ト
凄い	形容詞,*,*,連体形,形容詞型,凄い,スゴイ
住宅	名詞,*,*,*,*,住宅,ジュータク
街	名詞,接尾辞,*,*,*,街,ガイ
で	助動詞,*,*,連用形,*,だ,デ
EOS
いっぱい	副詞,*,*,*,*,一杯,イッパイ
人	名詞,*,*,*,*,人,ヒト
が	助詞,格助詞,*,*,*,が,ガ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
でる	助動詞,*,*,連体形,*,てる,デル
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
意外	形状詞,*,*,*,*,意外,イガイ
EOS
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
人	名詞,*,*,*,*,人,ヒト
が	助詞,格助詞,*,*,*,が,ガ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
でる	助動詞,*,*,終止形,*,てる,デル
なんて	助詞,副助詞,*,*,*,なんて,ナンテ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
どんな	連体詞,*,*,*,*,どんな,ドンナ
生活	名詞,*,*,*,*,生活,セーカツ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
どんな	連体詞,*,*,*,*,どんな,ドンナ
ところ	名詞,*,*,*,*,所,トコロ
に	助詞,格助詞,*,*,*,に,ニ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
でる	助動詞,*,*,連体形,*,てる,デル
ん	助詞,準体助詞,*,*,*,の,ン
だろ	助動詞,*,*,未然形,*,だ,ダロ
う	助動詞,*,*,終止形,*,う,ー
と	助詞,格助詞,*,*,*,と,ト
思っ	動詞,*,促音便,連用形,ワア行五段,思う,オモッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けど	助詞,接続助詞,*,*,*,けれど,ケド
結局	副詞,*,*,*,*,結局,ケッキョク
あそこ	名詞,代名詞,*,*,*,彼処,アソコ
は	助詞,係助詞,*,*,*,は,ワ
元々	副詞,*,*,*,*,元々,モトモト
砂漠	名詞,*,*,*,*,砂漠,サバク
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ところ	名詞,*,*,*,*,所,トコロ
に	助詞,格助詞,*,*,*,に,ニ
無理やり	副詞,*,*,*,*,無理矢理,ムリヤリ
町	名詞,*,*,*,*,町,マチ
を	助詞,格助詞,*,*,*,を,オ
作っ	動詞,*,促音便,連用形,ラ行五段,作る,ツクッ
た	助動詞,*,*,終止形,*,た,タ
EOS
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
EOS
土地	名詞,*,*,*,*,土地,トチ
代	名詞,接尾辞,*,*,*,代,ダイ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
も	助詞,副助詞,*,*,*,も,モ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
安く	形容詞,*,*,連用形,形容詞型,安い,ヤスク
て	助詞,接続助詞,*,*,*,て,テ
EOS
みんな	名詞,*,*,*,*,皆,ミンナ
広く	形容詞,*,*,連用形,形容詞型,広い,ヒロク
て	助詞,接続助詞,*,*,*,て,テ
EOS
大きな	連体詞,*,*,*,*,大きな,オウキナ
お	接頭辞,*,*,*,*,御,オ
うち	名詞,*,*,*,*,内,ウチ
に	助詞,格助詞,*,*,*,に,ニ
住ん	動詞,*,撥音便,連用形,マ行五段,住む,スン
で	助動詞,*,*,連用形,*,てる,デ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
は	助詞,係助詞,*,*,*,は,ワ
やっぱり	副詞,*,*,*,*,矢張り,ヤッパリ
ネオン	名詞,*,*,*,*,ネオン,ネオン
が	助詞,格助詞,*,*,*,が,ガ
きらきら	副詞,*,*,*,*,きらきら,キラキラ
し	動詞,*,*,連用形,サ行変格,為る,シ
てる	助動詞,*,*,連体形,*,てる,テル
町	名詞,*,*,*,*,町,マチ
な	助動詞,*,*,連体形,*,だ,ナ
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
EOS
夜	名詞,*,*,*,*,夜,ヨル
の	助詞,格助詞,*,*,*,の,ノ
方	名詞,*,*,*,*,方,ホー
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
奇麗	形状詞,*,*,*,*,奇麗,キレー
な	助動詞,*,*,連体形,*,だ,ナ
町	名詞,*,*,*,*,町,マチ
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
多分	副詞,*,*,*,*,多分,タブン
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
と	助詞,格助詞,*,*,*,と,ト
言え	動詞,*,*,仮定形,ワア行五段,言う,イエ
ば	助詞,接続助詞,*,*,*,ば,バ
誰	名詞,代名詞,*,*,*,誰,ダレ
で	助詞,格助詞,*,*,*,で,デ
も	助詞,副助詞,*,*,*,も,モ
カジノ	名詞,*,*,*,*,カジノ,カジノ
だ	助動詞,*,*,終止形,*,だ,ダ
と	助詞,格助詞,*,*,*,と,ト
思う	動詞,*,*,連体形,ワア行五段,思う,オモー
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
小心	形状詞,*,*,*,*,小心,ショーシン
者	名詞,*,*,*,*,者,モノ
な	助動詞,*,*,連体形,*,だ,ナ
私	名詞,代名詞,*,*,*,私,ワタシ
は	助詞,係助詞,*,*,*,は,ワ
五	名詞,数詞,*,*,*,五,ゴ
ドル	名詞,接尾辞,*,*,*,ドル,ドル
EOS
FV	*,*,*,*,*,,FV
EOS
だけ	助詞,副助詞,*,*,*,だけ,ダケ
EOS
やり	動詞,*,*,連用形,ラ行五段,遣る,ヤリ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	助詞,格助詞,*,*,*,で,デ
も	助詞,副助詞,*,*,*,も,モ笑
EOS
ビギナーズラック	名詞,*,*,*,*,ビギナーズラック,ビギナーズラック
で	助詞,格助詞,*,*,*,で,デ
六	名詞,数詞,*,*,*,六,ロク
倍	名詞,接尾辞,*,*,*,倍,バイ
に	助詞,格助詞,*,*,*,に,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
三十	名詞,数詞,*,*,*,三十,サンジュー
二	名詞,数詞,*,*,*,二,ニ
ドル	名詞,接尾辞,*,*,*,ドル,ドル
ぐらい	助詞,副助詞,*,*,*,くらい,グライ
に	助詞,格助詞,*,*,*,に,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
それ	名詞,代名詞,*,*,*,其れ,ソレ
で	助詞,格助詞,*,*,*,で,デ
夕	名詞,*,*,*,*,夕,ユー
御飯	名詞,*,*,*,*,御飯,ゴハン
が	助詞,格助詞,*,*,*,が,ガ
浮い	動詞,*,イ音便,連用形,カ行五段,浮く,ウイ
て	助詞,接続助詞,*,*,*,て,テ
EOS
やっ	動詞,*,促音便,連用形,ラ行五段,遣る,ヤッ
た	助動詞,*,*,終止形,*,た,タ
と	助詞,格助詞,*,*,*,と,ト
喜ん	動詞,*,撥音便,連用形,バ行五段,喜ぶ,ヨロコン
で	助詞,接続助詞,*,*,*,て,デ
い	動詞,*,*,連用形,ア行上一段,居る,イ
たら	助動詞,*,*,仮定形,*,た,タラ
みんな	名詞,*,*,*,*,皆,ミンナ
から	助詞,格助詞,*,*,*,から,カラ
は	助詞,係助詞,*,*,*,は,ワ
三十	名詞,数詞,*,*,*,三十,サンジュー
ドル	名詞,接尾辞,*,*,*,ドル,ドル
で	助詞,格助詞,*,*,*,で,デ
もっと	副詞,*,*,*,*,もっと,モット
賭けろ	動詞,*,*,命令形,カ行下一段,賭ける,カケロ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
風	形状詞,*,*,*,*,風,フー
に	助動詞,*,*,連用形,*,だ,ニ
ぶうぶう	副詞,*,*,*,*,ぶうぶう,ブーブー
言わ	動詞,*,*,未然形,ワア行五段,言う,イワ
れ	助動詞,*,*,連用形,*,れる,レ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
で	助詞,格助詞,*,*,*,で,デ
は	助詞,係助詞,*,*,*,は,ワ
カジノ	名詞,*,*,*,*,カジノ,カジノ
は	助詞,係助詞,*,*,*,は,ワ
あんまり	副詞,*,*,*,*,余り,アンマリ
お	接頭辞,*,*,*,*,御,オ
金	名詞,*,*,*,*,金,カネ
が	助詞,格助詞,*,*,*,が,ガ
なかっ	形容詞,*,促音便,連用形,形容詞型,無い,ナカッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
と	助詞,格助詞,*,*,*,と,ト
怖かっ	形容詞,*,促音便,連用形,形容詞型,怖い,コワカッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
あんまり	副詞,*,*,*,*,余り,アンマリ
やら	動詞,*,*,未然形,ラ行五段,遣る,ヤラ
なく	助動詞,*,*,連用形,*,ない,ナク
て	助詞,接続助詞,*,*,*,て,テ
殆ど	副詞,*,*,*,*,殆ど,ホトンド
毎日	名詞,*,*,*,*,毎日,マイニチ
買い物	名詞,*,*,*,*,買い物,カイモノ
を	助詞,格助詞,*,*,*,を,オ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,連用形,*,てる,テ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
より	助詞,格助詞,*,*,*,より,ヨリ
も	助詞,副助詞,*,*,*,も,モ
品揃え	名詞,*,*,*,*,品揃え,シナゾロエ
が	助詞,格助詞,*,*,*,が,ガ
豊富	形状詞,*,*,*,*,豊富,ホーフ
で	助動詞,*,*,連用形,*,だ,デ
EOS
若干	副詞,*,*,*,*,若干,ジャッカン
こう	副詞,*,*,*,*,こう,コー
タックス	名詞,*,*,*,*,タックス,タックス
が	助詞,格助詞,*,*,*,が,ガ
